PORTFOLIO XIRR DATA - Copy to Google Sheets and use =XIRR(A2:A37, B2:B37)

Amount,Date
-54981.17,2024-09-03
-476.01,2024-09-16
-734.59,2024-10-15
-715.70,2024-11-15
-2140.00,2024-12-06
-461.51,2024-12-16
-495.11,2025-01-15
-241.23,2025-02-17
-245.32,2025-02-18
-479.02,2025-03-17
-760.42,2025-04-15
-768.32,2025-05-15
-771.40,2025-06-16
-757.24,2025-07-15
-1079.44,2025-07-23
-268.02,2025-07-24
-758.52,2025-08-18
-473.38,2025-09-15
51580.57,2025-09-17
-52788.67,2025-09-18
-473.56,2025-09-22
-1998.99,2025-09-24
-652.95,2025-09-30
893.87,2025-10-02
-1359.45,2025-10-03
291.11,2025-10-06
-7515.16,2025-10-08
-238.41,2025-10-15
238.44,2025-10-16
-335.73,2025-10-22
-8778.37,2025-12-23
-2151.32,2025-12-24
-3506.70,2025-12-26
-1176.20,2026-01-02
-3412.56,2026-01-06
111591.84,2026-01-12
